topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,0,False,0.45511409640312195,0.5258994102478027,0.39050742983818054,0.6445146799087524
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,1,False,0.6590152382850647,0.6340175271034241,0.5139007568359375,0.6327320337295532
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,2,False,0.4718971848487854,0.5638166666030884,0.5083903670310974,0.4733341336250305
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,3,False,0.5374097228050232,0.5714123845100403,0.5021735429763794,0.5357813835144043
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,4,False,0.6960383653640747,0.6338798403739929,0.5701830387115479,0.5730422735214233
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5919193625450134,0.5663408637046814,0.5337604880332947,0.46789541840553284
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,6,False,0.6075983643531799,0.5953325033187866,0.6869298219680786,0.6415776014328003
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,7,False,0.6832529306411743,0.6247672438621521,0.6973928809165955,0.66615891456604
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,8,False,0.6462926864624023,0.4370262026786804,0.6519978046417236,0.5977545380592346
Openqa-AI_changes_human_life,qwen3-8b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-8b/500/Openqa-AI_changes_human_life_summary_1.json,9,False,0.49425143003463745,0.4050988554954529,0.511803388595581,0.47044143080711365
