topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,0,False,0.5166060328483582,0.6022278666496277,0.4424149990081787,0.7029060125350952
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,1,False,0.6831995844841003,0.6923617720603943,0.5971828699111938,0.6545120477676392
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,2,False,0.461983323097229,0.6618004441261292,0.5163173079490662,0.5147944688796997
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,3,False,0.521807849407196,0.5947068929672241,0.5337014198303223,0.5334590673446655
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,4,False,0.6985390782356262,0.708360493183136,0.5479915142059326,0.6149371862411499
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5559105277061462,0.6106671690940857,0.5419883728027344,0.49831315875053406
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,6,False,0.5846071243286133,0.61915522813797,0.6723297834396362,0.661525547504425
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,7,False,0.6861727833747864,0.6646791100502014,0.6920790672302246,0.6961843967437744
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,8,False,0.5892519354820251,0.4760788083076477,0.641857385635376,0.6177238821983337
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,9,False,0.5437655448913574,0.43100351095199585,0.5542951822280884,0.4892784059047699
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,10,False,0.4734613299369812,0.6046053767204285,0.5764544010162354,0.5749223232269287
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,11,True,0.7010022401809692,0.6408910155296326,0.630705714225769,0.6515624523162842
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,12,False,0.5616145133972168,0.6269918084144592,0.6015142798423767,0.5952950119972229
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,13,False,0.5627087354660034,0.6358833312988281,0.4994167983531952,0.628731369972229
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,14,False,0.5185546875,0.5842199325561523,0.6648345589637756,0.5819622278213501
Openqa-AI_changes_human_life,qwen3-235b-a22b,500,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/qwen3-235b-a22b/500/Openqa-AI_changes_human_life_summary_1.json,15,False,0.5592656135559082,0.5034056305885315,0.42758575081825256,0.5307912826538086
