topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,0,False,0.4284863770008087,0.5289151668548584,0.4193711578845978,0.6426897048950195
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,1,False,0.5950347185134888,0.638806164264679,0.5830528140068054,0.6126202940940857
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,2,False,0.4994699954986572,0.5864688754081726,0.5748776197433472,0.47499242424964905
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,3,False,0.5125282406806946,0.57044917345047,0.5126501321792603,0.49520251154899597
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,4,False,0.6703391075134277,0.6203924417495728,0.6171000003814697,0.5795828104019165
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5185203552246094,0.5607076287269592,0.5402612686157227,0.4361013174057007
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,6,False,0.5695270895957947,0.5767480731010437,0.6800801753997803,0.5863600969314575
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,7,False,0.635593831539154,0.6101446151733398,0.7169079184532166,0.6418634057044983
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,8,False,0.5298966765403748,0.382721483707428,0.6395201683044434,0.5493533611297607
Openqa-AI_changes_human_life,deepseek-reasoner,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/deepseek-reasoner/1000/Openqa-AI_changes_human_life_summary_1.json,9,False,0.4797897934913635,0.37358105182647705,0.5700517892837524,0.45066773891448975
