topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,0,False,0.5301167368888855,0.5934435129165649,0.39641937613487244,0.666579008102417
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,1,False,0.7375781536102295,0.7525025010108948,0.6530792713165283,0.7101902961730957
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,2,False,0.372383177280426,0.7304837703704834,0.505557656288147,0.4617849290370941
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,3,False,0.4629018306732178,0.6342645287513733,0.539774477481842,0.5214698910713196
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,4,False,0.6908867955207825,0.7425539493560791,0.6525214910507202,0.5519669651985168
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5298905968666077,0.5970510840415955,0.4896309971809387,0.4464970529079437
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,6,False,0.6383633613586426,0.7047722935676575,0.7413862347602844,0.6705138683319092
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,7,False,0.6727322936058044,0.6947761178016663,0.7200430631637573,0.6829308867454529
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,8,False,0.48267191648483276,0.4529239535331726,0.6461983323097229,0.6239187121391296
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,9,False,0.48738980293273926,0.5871390700340271,0.5456156730651855,0.5506000518798828
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,10,False,0.5476331114768982,0.699240505695343,0.5882096290588379,0.6186784505844116
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,11,True,0.576658308506012,0.6979629397392273,0.6024622321128845,0.6241799592971802
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,12,False,0.4629335403442383,0.6565648913383484,0.578383207321167,0.5332139730453491
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,13,False,0.5980240702629089,0.6365430355072021,0.591866135597229,0.6152045130729675
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,14,False,0.541750967502594,0.5949394106864929,0.6616039276123047,0.641732931137085
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,15,False,0.4808040261268616,0.556390106678009,0.4631364047527313,0.4964706599712372
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,16,False,0.5161175727844238,0.5657892823219299,0.4635903537273407,0.5008099675178528
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,17,True,0.6695908904075623,0.7215583324432373,0.6248917579650879,0.7159720659255981
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,18,False,0.5415812134742737,0.6012981534004211,0.5736631751060486,0.5862554311752319
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,19,True,0.5003512501716614,0.6059176325798035,0.49167004227638245,0.6227588057518005
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,20,False,0.7596579194068909,0.5536273121833801,0.6400256156921387,0.5965052843093872
Openqa-AI_changes_human_life,gpt-5-mini,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gpt-5-mini/1000/Openqa-AI_changes_human_life_summary_1.json,21,False,0.4416673183441162,0.6900104284286499,0.5628247261047363,0.5719863176345825
